experience_id,year,country_id,role,environment,description
1,2018,1,Au Pair,Artistic Family,Lived with a large artistic family in the Austrian Alps.
2,2019,2,Au Pair,Indian Family,Lived with an Indian mother and daughter in South London.
3,2020,3,Transition,Portugal,Experienced a transition period while adapting to a new country.
4,2020,4,Au Pair,Spanish Family,Introduced to marketing, business, and corporate culture.
5,2021,4,Receptionist,Aesthetic Clinic,Worked with scheduling, customer service, and digital systems.
6,2022,4,Freelancer,Remote Work,Worked with multilingual communication and freelance projects.
7,2024,4,Student,Education,Started studying Marketing and Data Analytics.
